gene,pVal
"LIFR",1.10623836014421e-07
"RP11-797A18.4",1.36493080490703e-07
"ZSWIM1",1.36493080490703e-07
"WDPCP",1.36493080490703e-07
"CTD-2538C1.2",1.36493080490703e-07
"PXN-AS1",1.72265604388001e-07
"RP11-680A11.5",7.13336792618064e-07
"RPP40",1.45908072933662e-06
"MYL6",2.17804424266853e-06
"RPLP1",2.59865057678153e-06
"BRD8",4.16385974570612e-06
"CPSF1",5.73961221896888e-06
"SLC3A2",7.32357166003568e-06
"CTD-3131K8.2",9.25090638996197e-06
"ZNF124",9.99074241033686e-06
"HFE",1.07868901249253e-05
"TMEM106A",1.07868901249253e-05
"RFC4",1.07868901249253e-05
"DDX3X",1.10503742644857e-05
"ZNF324",1.16433993914792e-05
"RP11-400F19.6",1.29218318469155e-05
"APP",1.32886515026873e-05
"AMZ2",1.7383940009784e-05
"FAM107B",1.78979670529314e-05
"TARBP1",1.86063748736515e-05
"ACOX3",2.01313493493638e-05
"RP11-350N15.5",2.20503129340884e-05
"CFL1",2.21124974434709e-05
"JUND",2.56858910489169e-05
"TMEM25",2.75944082352593e-05
"TMEM116",2.75944082352593e-05
"S100A10",3.04843711029688e-05
"MRPL24",3.83854776137446e-05
"DCTN3",5.25089373560626e-05
"PSMD2",5.43004816256127e-05
"MT1E",6.04844225429556e-05
"STK19",6.43536751697021e-05
"ANGPTL4",6.7138264596369e-05
"TMEM123",7.0544927119435e-05
"RBP4",7.05607468770614e-05
"CLDN1",7.11123601766156e-05
"DDX51",8.20630867485115e-05
"C7orf13",8.87067724382496e-05
"PICK1",8.9404399565029e-05
"CCT5",9.69755591216449e-05
"NARG2",9.74189233466725e-05
"POLR2B",0.000100646165250226
"PIGL",0.000107887138951209
"NOP56",0.000110167046982303
"STAU1",0.000116754032851965
"FGA",0.000118310831407696
"MMP10",0.00011854775703961
"METTL25",0.000118885132370131
"DSE",0.000118885132370131
"ITGAV",0.000125658028797005
"AURKA",0.000125963445680029
"RP11-301O19.1",0.000125963445680029
"FLNA",0.000126388899760361
"TMEM39B",0.000128931968395133
"MFSD5",0.000137411990358208
"ARHGDIB",0.000138193562440483
"CTC-241N9.1",0.000142125644319503
"ZNF229",0.000142125644319503
"AC006486.1",0.000150920844532148
"UCP2",0.000150920844532148
"AKAP3",0.000150920844532148
"CENPQ",0.000150920844532148
"NASP",0.000158628041652844
"RP11-396F22.1",0.000170070338486964
"PFN1",0.000173138534428217
"MYL12B",0.000174304467353301
"MRPS26",0.00020560045007169
"A1BG",0.000216378739907595
"PSMD6",0.000227911025107666
"SOD2",0.000252921814410739
"PRKCDBP",0.000254802391597021
"STARD10",0.0002639381786569
"SOD1",0.000277096823491648
"HIST1H2BK",0.00029893751325974
"NPC1",0.000300550329034946
"SMAD5",0.000315348150200768
"SLC39A14",0.000323488656858442
"CDKAL1",0.00032594679566497
"RBPJ",0.000340268645381905
"PRPF31",0.00036429769248573
"CHCHD2",0.000365792782267958
"CACYBP",0.000372481943407671
"NRG1",0.000405519886436266
"ZNF337",0.000405519886436266
"SRP14",0.000412898574870203
"NKIRAS1",0.000434167027833665
"IL32",0.00044463253332852
"IK",0.000454621142679268
"APOH",0.000479725515071545
"TRIM16L",0.000521989838621874
"PLCD1",0.000521989838621874
"PPP3CC",0.00054516486144892
"RNF145",0.00054516486144892
"APOA1",0.000548504366600614
"ANXA2",0.00058497787967492
"CWC15",0.0005969465942974
"IL1RL1",0.000687884751564482
"HID1",0.000691342773895222
"SYNE2",0.000693740667963
"WIPF1",0.000726539873450201
"CXCR4",0.000726539873450201
"CD3D",0.000740825150452122
"DUSP7",0.000763395626865892
"EIF2B4",0.000786578139380353
"CPSF3L",0.000794489288488679
"CDC123",0.000800706898403488
"PSMB7",0.000801543006084512
"CYTH3",0.000801981032647261
"FANCD2",0.000801981032647261
"PAXIP1-AS2",0.000801981032647261
"NCAPD2",0.000801981032647261
"ASMTL",0.000801981032647261
"ACOT2",0.000842369763955375
"AMN1",0.000850169037752216
"EXOSC6",0.000866398236103797
"PSMC3",0.000868661465965423
"RP11-297L17.2",0.000878955686260686
"VPS45",0.000884638251876541
"C11orf57",0.000886654511056085
"CHMP2A",0.000893698302198829
"POLE4",0.000904882189226285
"TPRG1-AS1",0.000928865770487305
"TPRKB",0.000956619506121706
"SAMD9",0.000975134523718297
"FBXL20",0.000975134523718297
"PSMA4",0.000997180644039297
"HSPA4L",0.00101924160283214
"SNX29",0.00104521857496315
"TMEM45A",0.00111931106531114
"BAZ1A",0.00113248056131388
"NUP160",0.00113329747390237
"SYNC",0.00113589754745558
"AAED1",0.00113595176547779
"S100A11",0.00114145947182989
"PER1",0.00115213146617935
"ASF1A",0.00115213146617935
"MGAT4B",0.00117030910832915
"PSMB2",0.00117172832386815
"KLHL7",0.00126077559943764
"MT2A",0.00126168558115382
"ANXA6",0.0012639198209661
"EIF5A",0.00127825354190476
"CINP",0.00131077555476392
"ZFP62",0.00135795873131037
"CD109",0.00136645862093809
"SEPP1",0.00138735150187266
"VPS25",0.00139321635435526
"OAS1",0.0014090996210973
"PSMD8",0.00142692754335544
"DSTN",0.00147386520887931
"MT1F",0.00151330115362414
"RBM39",0.00151567089435054
"FTSJ1",0.00151674824150516
